hasDate,type,Long,Lat,locationName,CurrencyName,geonameID
GREGORIAN:1681-05-04,meal,7.7125,48.226666666,Rheinhausen,Crown,2847631
GREGORIAN:1681-05-04,meal,7.7125,48.226666666,Rheinhausen,Batzen,2847631
GREGORIAN:1681-05-07,meal,8.266666666,50.0,Mainz,Thaler,2874225
GREGORIAN:1681-05-10,meal,7.769444444,50.061111111,Bacharach,Kopfstück,2953702
GREGORIAN:1681-05-10,meal,7.605555555,50.301111111,Lahnstein,Kopfstück,2881889
GREGORIAN:1681-05-11,meal,7.401666666,50.439722222,Andernach,Albus,2956206
GREGORIAN:1681-05-12,meal,6.957777777,50.942222222,Köln,Reichsthaler,2886242
GREGORIAN:1681-05-12,meal,6.957777777,50.942222222,Köln,Schilling,2886242
GREGORIAN:1681-05-13,meal,6.772380555,51.231144444,Düsseldorf,Stüver,2934246
GREGORIAN:1681-05-14,meal,6.453888888,51.662222222,Xanten,Thaler,2805385
GREGORIAN:1681-05-15,meal,5.85278,51.8425,Nijmegen,Stüver,2750053
GREGORIAN:1681-05-16,meal,5.91111,51.98,Arnhem,Schilling,2759661
GREGORIAN:1681-05-16,meal,5.91111,51.98,Arnhem,Stüver,2759661
GREGORIAN:1681-05-17,meal,6.195,52.14,Zutphen,Stüver,2743608
GREGORIAN:1681-05-24,meal,5.919722222,52.555,Kampen,Stüver,2753106
GREGORIAN:1681-05-25,meal,4.893611111,52.372777777,Amsterdam,Schilling,2759794
GREGORIAN:1682-07-21:1682-07-22,meal,4.351666666,50.846666666,Brüssel,Stüver,2800866
GREGORIAN:1682-07-23,meal,4.039166666,50.938333333,Aalst,Stüver,2803448
GREGORIAN:1682-07-30,meal,2.376388888,51.037777777,Dunkerque,Reichsthaler,3020686
GREGORIAN:1682-07-30,meal,2.376388888,51.037777777,Dunkerque,Stüver,3020686
GREGORIAN:1682-08-04,meal,-0.6,51.483333333,Windsor,Penny,2633842
GREGORIAN:1682-08-04,meal,-0.6,51.483333333,Windsor,Sixpence,2633842
GREGORIAN:1682-09-07,meal,10.0,53.55,Hamburg,Schilling,2911298
GREGORIAN:1682-09-08,meal,9.05833,53.1167,Fischerhude,Schilling,2926522
GREGORIAN:1682-09-09:1682-09-10,meal,8.808888888,53.076944444,Bremen,Groot,2944388
GREGORIAN:1682-09-16,meal,9.25,52.166666666,Hessisch Oldendorf,Groschen,290529
GREGORIAN:1682-09-19,meal,9.497916666,51.315777777,Kassel,Albus,2892518
GREGORIAN:1682-09-28,meal,9.066666666,50.95,Gilserberg,Albus,2920389
GREGORIAN:1682-09-28,meal,8.766666666,50.816666666,Marburg,Kopfstück,2873759
GREGORIAN:1682-07-15,postage,4.893611111,52.372777777,Amsterdam,Écu,2759794
GREGORIAN:1682-07-15,postage,4.893611111,52.372777777,Amsterdam,Stüver,2759794
GREGORIAN:1678-05-16,shopping,3.086944444,45.779722222,Clermont-Ferrand,Reichsthaler,3024635
GREGORIAN:1680-02-19:1680-02-20,shopping,5.732222222,47.746388888,La Rochelle,Sol,3006787
GREGORIAN:1680-02-19:1680-02-20,shopping,5.732222222,47.746388888,La Rochelle,Sol,3006787
GREGORIAN:1680-05-22:1680-05-28,sightseeing,7.752222222,48.573333333,Strasbourg,Crown,2973783
